order_id,transaction_id,customer_id,product_id,category,amount,quantity,order_date,payment_method,customer_location,device_id,channel,shipping_date,delivery_status,return_status,return_request_date,return_reason,return_resolution,refund_amount,refund_date,customer_segment,customer_tenure_days,shipping_address_id,billing_address_id,abuse_label,abuse_type
ORD100001,TXN100001,CUST100000,FAS-0035,Fashion,243.36,1,2024-01-07,Credit Card,"Varanasi, Uttar Pradesh",DEV202769,Website,2024-01-08,Delivered,Refunded,2024-01-08,Size issue,refund,218.85,2024-01-11,Budget,1324,ADDR301608,ADDR301608,1,serial_return_abuse
ORD100002,TXN100002,CUST100000,ELE-0012,Electronics,766.86,1,2024-01-17,Debit Card,"Varanasi, Uttar Pradesh",DEV202769,Mobile App,2024-01-20,Delivered,Not Returned,,,,,,Budget,1324,ADDR301608,ADDR301608,0,none
ORD100003,TXN100003,CUST100000,BEA-0008,Beauty,365.04,3,2024-02-02,Wallet,"Varanasi, Uttar Pradesh",DEV202769,Mobile App,2024-02-05,Delivered,Refunded,2024-02-08,Product not as described,refund,279.18,2024-02-08,Budget,1324,ADDR301608,ADDR301608,1,serial_return_abuse
ORD100004,TXN100004,CUST100000,ACC-0027,Accessories,136.24,1,2024-03-30,UPI,"Varanasi, Uttar Pradesh",DEV202769,Marketplace,2024-04-03,Delivered,Not Returned,,,,,,Budget,1324,ADDR301608,ADDR301608,0,none
ORD100005,TXN100005,CUST100000,FOO-0014,Footwear,792.07,1,2024-04-06,Debit Card,"Varanasi, Uttar Pradesh",DEV202769,Website,2024-04-08,Delivered,Not Returned,,,,,,Budget,1324,ADDR301608,ADDR301608,0,none
ORD100006,TXN100006,CUST100000,GRO-0020,Grocery,107.52,1,2024-07-06,Debit Card,"Varanasi, Uttar Pradesh",DEV202769,Website,2024-07-09,Delivered,Not Returned,,,,,,Budget,1324,ADDR301608,ADDR301608,0,none
ORD100007,TXN100007,CUST100000,GRO-0029,Grocery,97.82,1,2024-11-08,Debit Card,"Varanasi, Uttar Pradesh",DEV202769,Mobile App,2024-11-09,Delivered,Refunded,2024-11-12,Wrong product,refund,87.96,2024-11-14,Budget,1324,ADDR301608,ADDR301608,1,serial_return_abuse
ORD100008,TXN100008,CUST100000,HOM-0028,Home,854.47,1,2024-11-22,UPI,"Varanasi, Uttar Pradesh",DEV202769,Mobile App,2024-11-24,Delivered,Returned,2024-11-30,Damaged product,replacement,,,Budget,1324,ADDR301608,ADDR301608,1,serial_return_abuse
ORD100009,TXN100009,CUST100000,BEA-0052,Beauty,154.42,1,2024-11-25,Credit Card,"Varanasi, Uttar Pradesh",DEV202769,Website,2024-11-27,Delivered,Not Returned,,,,,,Budget,1324,ADDR301608,ADDR301608,0,none
ORD100010,TXN100010,CUST100001,HOM-0028,Home,694.79,3,2024-11-03,UPI,"Ranchi, Jharkhand",DEV202004,Mobile App,2024-11-04,Delivered,Not Returned,,,,,,Budget,1179,ADDR300582,ADDR300582,0,none
ORD100011,TXN100011,CUST100002,GRO-0031,Grocery,278.06,1,2024-04-22,UPI,"Guwahati, Assam",DEV201794,Website,2024-04-25,Delivered,Not Returned,,,,,,High Value,153,ADDR300847,ADDR300847,0,none
ORD100012,TXN100012,CUST100003,FAS-0016,Fashion,1015.18,2,2024-10-25,Net Banking,"Mysuru, Karnataka",DEV202365,Website,2024-10-29,Delivered,Not Returned,,,,,,Budget,195,ADDR302590,ADDR302590,0,none
ORD100013,TXN100013,CUST100003,ACC-0024,Accessories,108.19,1,2024-11-09,UPI,"Mysuru, Karnataka",DEV202365,Website,2024-11-11,Delivered,Not Returned,,,,,,Budget,195,ADDR302590,ADDR302590,0,none
ORD100014,TXN100014,CUST100003,GRO-0015,Grocery,192.09,2,2024-11-21,UPI,"Mysuru, Karnataka",DEV202365,Mobile App,2024-11-25,Delivered,Not Returned,,,,,,Budget,195,ADDR302590,ADDR302590,0,none
ORD100015,TXN100015,CUST100003,HOM-0006,Home,290.49,1,2024-12-27,Debit Card,"Mysuru, Karnataka",DEV202365,Marketplace,2024-12-30,Delivered,Not Returned,,,,,,Budget,195,ADDR302590,ADDR302590,0,none
ORD100016,TXN100016,CUST100004,GRO-0025,Grocery,107.11,1,2024-01-23,Net Banking,"Kochi, Kerala",DEV201100,Website,2024-01-26,Delivered,Not Returned,,,,,,Mass Market,986,ADDR302571,ADDR302571,0,none
ORD100017,TXN100017,CUST100004,ACC-0022,Accessories,117.36,1,2024-04-13,Net Banking,"Kochi, Kerala",DEV201100,Website,2024-04-17,Delivered,Refunded,2024-04-19,Product not as described,refund,104.75,2024-04-21,Mass Market,986,ADDR302571,ADDR302571,0,none
ORD100018,TXN100018,CUST100004,GRO-0011,Grocery,157.91,1,2024-04-15,Debit Card,"Kochi, Kerala",DEV201100,Marketplace,2024-04-18,Shipped,Not Returned,,,,,,Mass Market,986,ADDR302571,ADDR302571,0,none
ORD100019,TXN100019,CUST100004,FAS-0016,Fashion,600.0,2,2024-05-18,UPI,"Kochi, Kerala",DEV201100,Mobile App,2024-05-22,Delivered,Refunded,2024-05-31,Size issue,refund,600.0,2024-06-01,Mass Market,986,ADDR302571,ADDR302571,1,policy_exploitation
ORD100020,TXN100020,CUST100004,BEA-0020,Beauty,664.12,1,2024-05-30,Credit Card,"Kochi, Kerala",DEV201100,Website,2024-06-03,Delivered,Not Returned,,,,,,Mass Market,986,ADDR302571,ADDR302571,0,none
ORD100021,TXN100021,CUST100004,FOO-0024,Footwear,914.77,1,2024-06-29,Credit Card,"Kochi, Kerala",DEV201100,Mobile App,2024-06-30,Delivered,Refunded,2024-06-30,Quality issue,refund,861.27,2024-07-06,Mass Market,986,ADDR302571,ADDR302571,1,policy_exploitation
ORD100022,TXN100022,CUST100004,ELE-0019,Electronics,3601.34,2,2024-08-29,Credit Card,"Kochi, Kerala",DEV201100,Mobile App,2024-08-31,Delivered,Not Returned,,,,,,Mass Market,986,ADDR302571,ADDR302571,0,none
ORD100023,TXN100023,CUST100004,BEA-0018,Beauty,611.93,1,2024-10-09,EMI,"Kochi, Kerala",DEV201100,Mobile App,2024-10-10,Delivered,Not Returned,,,,,,Mass Market,986,ADDR302571,ADDR302571,0,none
ORD100024,TXN100024,CUST100004,HOM-0047,Home,779.14,2,2024-10-15,Debit Card,"Kochi, Kerala",DEV201100,Mobile App,2024-10-17,Delivered,Not Returned,,,,,,Mass Market,986,ADDR302571,ADDR302571,0,none
ORD100025,TXN100025,CUST100004,FAS-0014,Fashion,750.37,1,2024-11-11,UPI,"Kochi, Kerala",DEV201100,Website,2024-11-12,Pending,Not Returned,,,,,,Mass Market,986,ADDR302571,ADDR302571,0,none
ORD100026,TXN100026,CUST100004,FAS-0027,Fashion,735.12,1,2024-12-23,Net Banking,"Kochi, Kerala",DEV201100,Mobile App,2024-12-27,Delivered,Not Returned,,,,,,Mass Market,986,ADDR302571,ADDR302571,0,none
ORD100027,TXN100027,CUST100005,GRO-0050,Grocery,332.96,2,2024-05-13,UPI,"Pune, Maharashtra",DEV201696,Social Commerce,2024-05-14,Delivered,Not Returned,,,,,,Mass Market,1389,ADDR301536,ADDR301536,0,none
ORD100028,TXN100028,CUST100006,FAS-0016,Fashion,614.9,1,2024-02-25,Debit Card,"Vadodara, Gujarat",DEV202368,Marketplace,2024-02-26,Delivered,Refunded,2024-03-06,Changed mind,refund,531.61,2024-03-09,Budget,202,ADDR300012,ADDR300012,0,none
ORD100029,TXN100029,CUST100007,ELE-0049,Electronics,742.33,1,2024-01-26,UPI,"Ludhiana, Punjab",DEV201851,Mobile App,2024-01-30,Delivered,Not Returned,,,,,,Premium,377,ADDR300309,ADDR300309,0,none
ORD100030,TXN100030,CUST100007,SPO-0020,Sports,870.8,1,2024-03-08,UPI,"Ludhiana, Punjab",DEV201851,Mobile App,2024-03-10,Delivered,Not Returned,,,,,,Premium,377,ADDR300309,ADDR300309,0,none
ORD100031,TXN100031,CUST100007,BEA-0006,Beauty,1027.66,1,2024-03-29,Debit Card,"Ludhiana, Punjab",DEV201851,Mobile App,2024-04-02,Delivered,Not Returned,,,,,,Premium,377,ADDR300309,ADDR300309,0,none
ORD100032,TXN100032,CUST100007,HOM-0042,Home,975.8,1,2024-04-06,Wallet,"Ludhiana, Punjab",DEV201851,Website,2024-04-10,Delivered,Not Returned,,,,,,Premium,377,ADDR300309,ADDR300309,0,none
ORD100033,TXN100033,CUST100007,FAS-0013,Fashion,610.41,1,2024-04-29,Credit Card,"Ludhiana, Punjab",DEV201851,Marketplace,2024-04-30,Delivered,Refunded,2024-04-30,Size issue,refund,552.21,2024-05-03,Premium,377,ADDR300309,ADDR300309,0,none
ORD100034,TXN100034,CUST100007,FAS-0018,Fashion,1403.81,2,2024-05-04,UPI,"Ludhiana, Punjab",DEV201851,Website,2024-05-07,Delivered,Not Returned,,,,,,Premium,377,ADDR300309,ADDR300309,0,none
ORD100035,TXN100035,CUST100007,FAS-0027,Fashion,995.36,1,2024-05-20,UPI,"Ludhiana, Punjab",DEV201851,Mobile App,2024-05-24,Delivered,Returned,2024-05-25,Size issue,replacement,,,Premium,377,ADDR300309,ADDR300309,0,none
ORD100036,TXN100036,CUST100007,HOM-0043,Home,530.96,1,2024-09-21,UPI,"Ludhiana, Punjab",DEV201851,Mobile App,2024-09-24,Delivered,Not Returned,,,,,,Premium,377,ADDR300309,ADDR300309,0,none
ORD100037,TXN100037,CUST100007,HOM-0007,Home,700.09,1,2024-09-24,Debit Card,"Ludhiana, Punjab",DEV201851,Website,2024-09-28,Delivered,Not Returned,,,,,,Premium,377,ADDR300309,ADDR300309,0,none
ORD100038,TXN100038,CUST100007,ELE-0019,Electronics,2330.8,1,2024-10-20,Debit Card,"Ludhiana, Punjab",DEV201851,Marketplace,2024-10-21,Delivered,Not Returned,,,,,,Premium,377,ADDR300309,ADDR300309,0,none
ORD100039,TXN100039,CUST100007,GRO-0016,Grocery,124.67,1,2024-10-22,Debit Card,"Ludhiana, Punjab",DEV201851,Mobile App,2024-10-24,Delivered,Not Returned,,,,,,Premium,377,ADDR300309,ADDR300309,0,none
ORD100040,TXN100040,CUST100007,FAS-0035,Fashion,1198.05,2,2024-10-30,Wallet,"Ludhiana, Punjab",DEV201851,Mobile App,2024-11-03,Delivered,Refunded,2024-11-07,Size issue,refund,1198.05,2024-11-10,Premium,377,ADDR300309,ADDR300309,0,none
ORD100041,TXN100041,CUST100007,BEA-0056,Beauty,189.75,1,2024-12-20,Net Banking,"Ludhiana, Punjab",DEV201851,Website,2024-12-22,Delivered,Not Returned,,,,,,Premium,377,ADDR300309,ADDR300309,0,none
ORD100042,TXN100042,CUST100008,HOM-0006,Home,595.04,2,2024-02-16,UPI,"Mysuru, Karnataka",DEV202595,Website,2024-02-19,Delivered,Not Returned,,,,,,Premium,886,ADDR303149,ADDR303149,0,none
ORD100043,TXN100043,CUST100008,HOM-0033,Home,1876.95,2,2024-06-17,Wallet,"Mysuru, Karnataka",DEV202595,Mobile App,2024-06-19,Delivered,Not Returned,,,,,,Premium,886,ADDR303149,ADDR303149,0,none
ORD100044,TXN100044,CUST100008,FOO-0006,Footwear,1228.65,1,2024-06-21,Debit Card,"Mysuru, Karnataka",DEV202595,Mobile App,2024-06-25,Delivered,Not Returned,,,,,,Premium,886,ADDR303149,ADDR300094,0,none
ORD100045,TXN100045,CUST100008,GRO-0014,Grocery,173.65,2,2024-08-22,Credit Card,"Mysuru, Karnataka",DEV202595,Marketplace,2024-08-25,Delivered,Not Returned,,,,,,Premium,886,ADDR303149,ADDR303149,0,none
ORD100046,TXN100046,CUST100008,FOO-0031,Footwear,1902.16,1,2024-09-04,Debit Card,"Mysuru, Karnataka",DEV202595,Website,2024-09-07,Delivered,Not Returned,,,,,,Premium,886,ADDR303149,ADDR303149,0,none
ORD100047,TXN100047,CUST100009,ELE-0050,Electronics,602.1,1,2024-03-05,Credit Card,"Guwahati, Assam",DEV200381,Mobile App,2024-03-08,Delivered,Not Returned,,,,,,Mass Market,200,ADDR301650,ADDR300390,0,none
ORD100048,TXN100048,CUST100009,BEA-0040,Beauty,392.0,1,2024-03-16,UPI,"Guwahati, Assam",DEV200381,Mobile App,2024-03-17,Delivered,Not Returned,,,,,,Mass Market,200,ADDR301650,ADDR301650,0,none
