order_id,customer_id,transaction_id,device_id,shipping_address_id,billing_address_id,order_date,return_request_date,prior_order_count,prior_return_count,prior_refund_count,prior_spend,prior_refund_amount,prior_return_rate,prior_refund_rate,average_previous_order_value,average_previous_refund,orders_last_7_days,orders_last_30_days,returns_last_30_days,refunds_last_30_days,days_since_previous_order,accounts_per_device,accounts_per_shipping_address,accounts_per_billing_address,device_prior_return_count,address_prior_return_count,device_prior_refund_count,address_prior_refund_count,is_address_mismatch,current_order_amount,quantity,category,payment_method,channel,return_reason,customer_segment,customer_tenure_days,days_since_order,days_since_delivery,delivery_duration_days,abuse_label,abuse_type
ORD500001,CUST500000,TXN500001,DEV805506,ADDR905012,ADDR905012,2024-04-12,2024-04-23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,999,1,1,1,0,0,0,0,0,4024.12,1,Sports,UPI,Marketplace,Wrong product,Mass Market,1548,11,10,1,0,none
ORD500005,CUST500002,TXN500005,DEV802535,ADDR904582,ADDR904582,2024-07-12,2024-07-25,2,1,0,2307.98,0.0,0.3333,0.0,1153.99,0.0,0,1,1,0,8,1,1,1,1,1,0,0,0,943.06,1,Fashion,UPI,Mobile App,Changed mind,Mass Market,91,13,12,1,0,none
ORD500018,CUST500007,TXN500018,DEV806635,ADDR905333,ADDR905333,2024-04-21,2024-05-04,1,0,0,2086.32,0.0,0.0,0.0,2086.32,0.0,0,0,0,0,95,1,1,1,0,0,0,0,0,341.72,1,Accessories,UPI,Website,Quality issue,Budget,765,13,11,2,0,none
ORD500029,CUST500011,TXN500029,DEV804814,ADDR902654,ADDR902654,2024-08-17,2024-08-22,3,0,0,4495.3,0.0,0.0,0.0,1498.43,0.0,0,1,0,0,20,1,2,2,0,0,0,0,0,2209.55,1,Home,UPI,Mobile App,Wrong product,High Value,1781,5,1,4,0,none
ORD500041,CUST500014,TXN500041,DEV805010,ADDR903677,ADDR903677,2024-12-18,2024-12-23,2,0,0,5043.8,0.0,0.0,0.0,2521.9,0.0,0,0,0,0,316,1,1,1,0,0,0,0,0,2862.79,1,Fashion,UPI,Website,Damaged product,Mass Market,1123,5,3,2,0,none
ORD500057,CUST500019,TXN500057,DEV808517,ADDR903340,ADDR903340,2024-08-07,2024-08-16,3,0,0,8906.31,0.0,0.0,0.0,2968.77,0.0,0,0,0,0,36,1,1,1,0,0,0,0,0,2276.43,1,Sports,UPI,Mobile App,Product not as described,Mass Market,1346,9,8,1,0,none
ORD500062,CUST500021,TXN500062,DEV807543,ADDR908002,ADDR908002,2024-05-30,2024-06-12,2,0,0,3144.62,0.0,0.0,0.0,1572.31,0.0,0,0,0,0,44,1,2,2,0,1,0,1,0,2233.18,1,Footwear,UPI,Website,Late delivery,Mass Market,1225,13,10,3,1,coordinated_address_abuse
ORD500065,CUST500022,TXN500065,DEV809085,ADDR902489,ADDR903497,2024-04-12,2024-04-18,3,1,0,6925.37,0.0,0.25,0.0,2308.46,0.0,0,0,0,0,36,1,2,1,1,2,0,0,1,1658.92,2,Footwear,Wallet,Website,Changed mind,Budget,1073,6,4,2,0,none
ORD500067,CUST500022,TXN500067,DEV809085,ADDR902489,ADDR901855,2024-12-21,2025-01-01,6,2,1,13087.38,1381.12,0.2857,0.1429,2181.23,1381.12,0,0,0,0,91,1,3,1,2,4,1,1,1,6070.24,1,Electronics,UPI,Mobile App,Changed mind,Budget,1073,11,8,3,0,none
ORD500076,CUST500026,TXN500076,DEV809797,ADDR905371,ADDR909216,2024-10-05,2024-10-11,1,0,0,1017.15,0.0,0.0,0.0,1017.15,0.0,0,0,0,0,142,1,1,1,0,0,0,0,1,2444.45,2,Sports,Credit Card,Marketplace,Size issue,Mass Market,1426,6,5,1,0,none
