order_id,transaction_id,customer_id,product_id,category,amount,quantity,order_date,payment_method,customer_location,device_id,channel,shipping_date,delivery_status,return_status,return_request_date,return_reason,return_resolution,refund_amount,refund_date,customer_segment,customer_tenure_days,shipping_address_id,billing_address_id,abuse_label,abuse_type
ORD500001,TXN500001,CUST500000,SPO-1043,Sports,4024.12,1,2024-04-12,UPI,"Mumbai, Maharashtra",DEV805506,Marketplace,2024-04-13,Delivered,Refunded,2024-04-23,Wrong product,refund,3366.02,2024-04-24,Mass Market,1548,ADDR905012,ADDR905012,0,none
ORD500002,TXN500002,CUST500000,ELE-1071,Electronics,6194.44,1,2024-05-13,Debit Card,"Mumbai, Maharashtra",DEV805506,Mobile App,2024-05-17,Delivered,Not Returned,,,,,,Mass Market,1548,ADDR905012,ADDR905012,0,none
ORD500003,TXN500003,CUST500001,ACC-1030,Accessories,1064.45,1,2024-01-19,Credit Card,"Mysuru, Karnataka",DEV809935,Mobile App,2024-01-20,Delivered,Returned,2024-01-24,Quality issue,replacement,,,Budget,239,ADDR902424,ADDR902424,0,none
ORD500004,TXN500004,CUST500002,HOM-1079,Home,1159.84,1,2024-01-27,UPI,"Delhi, Delhi",DEV802535,Mobile App,2024-01-30,Delivered,Not Returned,,,,,,Mass Market,91,ADDR904582,ADDR904582,0,none
ORD500005,TXN500005,CUST500002,FAS-1097,Fashion,943.06,1,2024-07-12,UPI,"Delhi, Delhi",DEV802535,Mobile App,2024-07-13,Delivered,Refunded,2024-07-25,Changed mind,refund,749.87,2024-08-02,Mass Market,91,ADDR904582,ADDR904582,0,none
ORD500006,TXN500006,CUST500002,FAS-1017,Fashion,1148.14,1,2024-07-17,Wallet,"Delhi, Delhi",DEV802535,Social Commerce,2024-07-21,Delivered,Returned,2024-07-23,Size issue,replacement,,,Mass Market,91,ADDR904582,ADDR904582,0,none
ORD500007,TXN500007,CUST500003,FOO-1068,Footwear,3783.28,2,2024-04-22,UPI,"Ranchi, Jharkhand",DEV804257,Website,2024-04-25,Delivered,Not Returned,,,,,,Budget,84,ADDR909928,ADDR909928,0,none
ORD500008,TXN500008,CUST500003,ELE-1036,Electronics,729.38,2,2024-07-01,Debit Card,"Ranchi, Jharkhand",DEV804257,Website,2024-07-02,Delivered,Returned,2024-07-11,Size issue,replacement,,,Budget,84,ADDR909928,ADDR909928,0,none
ORD500009,TXN500009,CUST500003,ELE-1090,Electronics,2671.58,2,2024-08-15,UPI,"Ranchi, Jharkhand",DEV804257,Social Commerce,2024-08-19,Delivered,Not Returned,,,,,,Budget,84,ADDR909928,ADDR909928,0,none
ORD500010,TXN500010,CUST500004,FAS-1008,Fashion,1029.81,1,2024-09-12,UPI,"Bhopal, Madhya Pradesh",DEV805557,Social Commerce,2024-09-15,Delivered,Not Returned,,,,,,Mass Market,1236,ADDR901106,ADDR901106,0,none
ORD500011,TXN500011,CUST500005,GRO-1069,Grocery,471.82,1,2024-07-14,UPI,"Chennai, Tamil Nadu",DEV807924,Website,2024-07-15,Delivered,Return Requested,2024-07-21,Late delivery,replacement,,,High Value,1459,ADDR906574,ADDR906574,0,none
ORD500012,TXN500012,CUST500006,GRO-1014,Grocery,872.46,2,2024-01-15,Wallet,"Kolkata, West Bengal",DEV806514,Website,2024-01-19,Delivered,Not Returned,,,,,,Budget,1593,ADDR902674,ADDR902674,0,none
ORD500013,TXN500013,CUST500006,FOO-1073,Footwear,3476.5,2,2024-04-20,Credit Card,"Kolkata, West Bengal",DEV806514,Website,2024-04-23,Delivered,Not Returned,,,,,,Budget,1593,ADDR902674,ADDR902674,0,none
