order_id,customer_id,transaction_id,device_id,shipping_address_id,billing_address_id,order_date,return_request_date,prior_order_count,prior_return_count,prior_refund_count,prior_spend,prior_refund_amount,prior_return_rate,prior_refund_rate,average_previous_order_value,average_previous_refund,orders_last_7_days,orders_last_30_days,returns_last_30_days,refunds_last_30_days,days_since_previous_order,accounts_per_device,accounts_per_shipping_address,accounts_per_billing_address,device_prior_return_count,address_prior_return_count,device_prior_refund_count,address_prior_refund_count,is_address_mismatch,current_order_amount,quantity,category,payment_method,channel,return_reason,customer_segment,customer_tenure_days,days_since_order,days_since_delivery,delivery_duration_days,abuse_label,abuse_type
ORD100001,CUST100000,TXN100001,DEV202769,ADDR301608,ADDR301608,2024-01-07,2024-01-08,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,999,1,1,1,0,0,0,0,0,243.36,1,Fashion,Credit Card,Website,Size issue,Budget,1324,1,0,1,1,serial_return_abuse
ORD100003,CUST100000,TXN100003,DEV202769,ADDR301608,ADDR301608,2024-02-02,2024-02-08,2,1,1,1010.22,218.85,0.3333,0.3333,505.11,218.85,0,1,0,1,22,1,1,1,1,1,1,1,0,365.04,3,Beauty,Wallet,Mobile App,Product not as described,Budget,1324,6,3,3,1,serial_return_abuse
ORD100007,CUST100000,TXN100007,DEV202769,ADDR301608,ADDR301608,2024-11-08,2024-11-12,6,2,2,2411.09,498.03,0.2857,0.2857,401.85,249.02,0,0,0,0,129,1,1,2,2,2,2,2,0,97.82,1,Grocery,Debit Card,Mobile App,Wrong product,Budget,1324,4,3,1,1,serial_return_abuse
ORD100017,CUST100004,TXN100017,DEV201100,ADDR302571,ADDR302571,2024-04-13,2024-04-19,2,0,0,265.02,0.0,0.0,0.0,132.51,0.0,1,1,0,0,4,2,1,1,1,0,1,0,0,117.36,1,Accessories,Net Banking,Website,Product not as described,Mass Market,986,6,2,4,0,none
ORD100019,CUST100004,TXN100019,DEV201100,ADDR302571,ADDR302571,2024-05-18,2024-05-31,4,1,1,1046.5,104.75,0.2,0.2,261.62,104.75,1,1,0,0,1,2,1,1,2,1,2,1,0,600.0,2,Fashion,UPI,Mobile App,Size issue,Mass Market,986,13,9,4,1,policy_exploitation
ORD100021,CUST100004,TXN100021,DEV201100,ADDR302571,ADDR302571,2024-06-29,2024-06-30,5,2,2,1646.5,704.75,0.3333,0.3333,329.3,352.38,0,0,1,1,31,2,1,1,3,2,3,2,0,914.77,1,Footwear,Credit Card,Mobile App,Quality issue,Mass Market,986,1,0,1,1,policy_exploitation
ORD100028,CUST100006,TXN100028,DEV202368,ADDR300012,ADDR300012,2024-02-25,2024-03-06,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,999,1,2,2,0,0,0,0,0,614.9,1,Fashion,Debit Card,Marketplace,Changed mind,Budget,202,10,9,1,0,none
ORD100033,CUST100007,TXN100033,DEV201851,ADDR300309,ADDR300309,2024-04-29,2024-04-30,4,0,0,3616.59,0.0,0.0,0.0,904.15,0.0,0,1,0,0,24,1,1,1,0,0,0,0,0,610.41,1,Fashion,Credit Card,Marketplace,Size issue,Premium,377,1,0,1,0,none
ORD100040,CUST100007,TXN100040,DEV201851,ADDR300309,ADDR300309,2024-10-30,2024-11-07,11,2,1,10312.69,552.21,0.1667,0.0833,937.52,552.21,0,2,0,0,16,2,1,2,2,2,1,1,0,1198.05,2,Fashion,Wallet,Mobile App,Size issue,Premium,377,8,4,4,0,none
ORD100051,CUST100010,TXN100051,DEV202111,ADDR303071,ADDR303071,2024-01-28,2024-02-09,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,999,1,1,1,0,0,0,0,0,1542.58,1,Home,Debit Card,Marketplace,Damaged product,Premium,508,12,11,1,0,none
ORD100063,CUST100012,TXN100063,DEV200953,ADDR302175,ADDR302175,2024-10-28,2024-11-02,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,999,6,7,8,3,5,2,3,0,623.47,1,Fashion,Credit Card,Website,Other,Budget,813,5,2,3,0,none
ORD100087,CUST100017,TXN100087,DEV201999,ADDR301340,ADDR301340,2024-12-20,2024-12-24,7,3,0,4088.3,0.0,0.375,0.0,584.04,0.0,0,0,0,0,34,2,2,2,3,3,0,0,0,1398.59,1,Sports,Credit Card,Mobile App,Other,Mass Market,829,4,0,4,1,serial_return_abuse
ORD100099,CUST100018,TXN100099,DEV201009,ADDR302533,ADDR302533,2024-08-31,2024-09-10,13,3,1,12513.1,758.19,0.2143,0.0714,962.55,758.19,1,3,3,1,5,3,5,5,3,3,1,1,0,847.51,1,Sports,UPI,Mobile App,Damaged product,Premium,290,10,6,4,1,serial_return_abuse
ORD100100,CUST100018,TXN100100,DEV201009,ADDR302533,ADDR302533,2024-09-02,2024-09-05,12,1,0,10955.79,0.0,0.0769,0.0,912.98,0.0,1,2,1,0,5,3,5,5,1,1,0,0,0,758.19,1,Home,Credit Card,Mobile App,Product not as described,Premium,290,3,2,1,1,serial_return_abuse
ORD100101,CUST100018,TXN100101,DEV201009,ADDR302533,ADDR302533,2024-09-05,2024-09-09,13,2,1,11713.98,758.19,0.1429,0.0714,901.08,758.19,1,3,2,1,7,3,5,5,2,2,1,1,0,1646.63,1,Electronics,Net Banking,Mobile App,Damaged product,Premium,290,4,1,3,0,none
ORD100103,CUST100018,TXN100103,DEV201009,ADDR302533,ADDR302533,2024-10-06,2024-10-10,15,4,3,14023.49,2891.25,0.25,0.1875,934.9,963.75,1,1,1,2,6,4,6,6,4,4,3,3,0,368.52,1,Fashion,UPI,Social Commerce,Size issue,Premium,290,4,1,3,0,none
ORD100104,CUST100018,TXN100104,DEV201009,ADDR302533,ADDR302533,2024-10-11,2024-10-16,16,5,3,14392.01,2891.25,0.2941,0.1765,899.5,963.75,0,2,1,1,10,4,6,6,5,5,3,3,0,1110.48,1,Fashion,Net Banking,Mobile App,Size issue,Premium,290,5,3,2,1,serial_return_abuse
ORD100108,CUST100018,TXN100108,DEV201009,ADDR302533,ADDR302533,2024-11-10,2024-11-23,20,6,5,16594.5,4065.47,0.2857,0.2381,829.72,813.09,0,1,0,0,20,5,7,7,7,7,6,6,0,2818.55,3,Fashion,Net Banking,Mobile App,Product not as described,Premium,290,13,11,2,1,serial_return_abuse
ORD100110,CUST100019,TXN100110,DEV202383,ADDR300010,ADDR300010,2024-07-14,2024-07-25,1,0,0,592.79,0.0,0.0,0.0,592.79,0.0,0,0,0,0,56,2,2,2,0,4,0,4,0,892.42,1,Electronics,Credit Card,Website,Damaged product,Budget,205,11,9,2,0,none
ORD100113,CUST100021,TXN100113,DEV201556,ADDR300760,ADDR300760,2024-02-16,2024-02-20,1,0,0,561.72,0.0,0.0,0.0,561.72,0.0,0,1,0,0,28,1,1,1,0,0,0,0,0,3175.98,3,Fashion,Credit Card,Website,Changed mind,Premium,1576,4,2,2,0,none
ORD100125,CUST100024,TXN100125,DEV200381,ADDR302993,ADDR302993,2024-04-11,2024-04-14,2,0,0,323.09,0.0,0.0,0.0,161.55,0.0,0,1,0,0,14,2,1,1,0,0,0,0,0,243.36,1,Fashion,Debit Card,Website,Changed mind,Budget,503,3,2,1,1,serial_return_abuse
ORD100128,CUST100024,TXN100128,DEV200381,ADDR302993,ADDR302993,2024-07-26,2024-08-03,5,2,1,1022.59,204.2,0.3333,0.1667,204.52,204.2,0,1,1,0,21,2,1,1,2,2,1,1,0,217.56,1,Accessories,Debit Card,Mobile App,Quality issue,Budget,503,8,5,3,1,serial_return_abuse
ORD100131,CUST100024,TXN100131,DEV200381,ADDR302993,ADDR302993,2024-08-25,2024-08-29,8,3,2,1519.78,421.76,0.3333,0.2222,189.97,210.88,0,2,1,1,8,2,1,1,3,3,2,2,0,608.0,1,Sports,UPI,Website,Quality issue,Budget,503,4,0,4,0,none
ORD100138,CUST100024,TXN100138,DEV200381,ADDR302993,ADDR302993,2024-11-13,2024-11-17,15,4,3,5843.28,998.36,0.25,0.1875,389.55,332.79,1,3,0,0,6,2,1,1,4,4,3,3,0,885.97,1,Footwear,Credit Card,Website,Wrong product,Budget,503,4,0,4,1,serial_return_abuse
ORD100143,CUST100025,TXN100143,DEV201877,ADDR302600,ADDR302600,2024-04-10,2024-04-13,5,0,0,1633.19,0.0,0.0,0.0,326.64,0.0,4,4,0,0,2,1,1,1,0,0,0,0,0,70.49,1,Grocery,UPI,Mobile App,Wrong product,Mass Market,676,3,2,1,1,policy_exploitation
ORD100148,CUST100025,TXN100148,DEV201877,ADDR302600,ADDR302600,2024-04-13,2024-04-29,8,1,1,3623.38,68.8,0.1111,0.1111,452.92,68.8,0,7,1,1,16,1,1,1,1,1,1,1,0,721.11,1,Sports,Credit Card,Marketplace,Changed mind,Mass Market,676,16,12,4,1,policy_exploitation
ORD100154,CUST100025,TXN100154,DEV201877,ADDR302600,ADDR302600,2024-10-18,2024-10-24,14,3,2,8842.89,786.74,0.2,0.1333,631.64,393.37,0,1,1,0,11,2,1,1,3,3,2,2,0,115.69,1,Accessories,Credit Card,Marketplace,Changed mind,Mass Market,676,6,2,4,0,none
ORD100166,CUST100027,TXN100166,DEV201016,ADDR300348,ADDR300348,2024-05-19,2024-05-21,4,0,0,10579.92,0.0,0.0,0.0,2644.98,0.0,0,0,0,0,56,6,5,5,3,3,2,2,0,391.55,1,Beauty,Credit Card,Website,Quality issue,Premium,1367,2,1,1,0,none
ORD100172,CUST100029,TXN100172,DEV201148,ADDR300992,ADDR300992,2024-05-15,2024-05-18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,999,4,3,3,1,0,1,0,0,68.33,1,Grocery,Debit Card,Marketplace,Wrong product,Mass Market,414,3,1,2,0,none
ORD100176,CUST100031,TXN100176,DEV203029,ADDR301629,ADDR301629,2024-10-05,2024-10-15,2,0,0,1167.64,0.0,0.0,0.0,583.82,0.0,0,0,0,0,43,3,2,2,1,0,0,0,0,5272.14,2,Sports,UPI,Mobile App,Quality issue,Mass Market,449,10,9,1,0,none
ORD100180,CUST100033,TXN100180,DEV200892,ADDR301759,ADDR301759,2024-02-03,2024-02-14,2,0,0,3347.84,0.0,0.0,0.0,1673.92,0.0,1,1,0,0,6,1,3,3,0,2,0,2,0,734.45,1,Electronics,UPI,Mobile App,Quality issue,High Value,1299,11,9,2,0,none
ORD100183,CUST100033,TXN100183,DEV200892,ADDR301759,ADDR301759,2024-05-04,2024-05-08,4,1,1,4158.31,659.97,0.2,0.2,1039.58,659.97,0,1,0,0,22,1,3,3,1,3,1,3,0,2852.52,2,Fashion,Debit Card,Website,Quality issue,High Value,1299,4,2,2,0,none
ORD100187,CUST100033,TXN100187,DEV200892,ADDR301759,ADDR301759,2024-09-12,2024-09-15,8,2,2,14032.03,3280.44,0.2222,0.2222,1754.0,1640.22,0,1,0,0,28,2,3,3,2,5,2,4,0,561.08,1,Fashion,Wallet,Mobile App,Size issue,High Value,1299,3,0,3,0,none
